,VI,polarization,rmse-mean,r2-mean,rmse-std,r2-std,k1,k2,k3,k4,k5,k6,k7,k8,k9,lgbm_rmse_mean,lgbm_rmse_std,lgbm_r2_mean,lgbm_r2_std
0,EVI,sigma0vh,4.578349237031341,-0.06031803628084877,0.8373866256453083,0.12024802105893292,20.55574747362291,7.037236954223667,-6.328023507157904,-4.216504301377569,0.4487409303918645,3.5605317721794507,-5.462979719579353,1.2378852889459322,-2.1579807384552305,4.303670308815876,0.9832881586637331,-0.05921723754782933,0.2779262029268095
1,EVI,sigma0vv,4.556632675435447,-0.049665777179116216,0.8230878772614001,0.10369071610124184,15.891073975882026,3.019899012603801,-5.8001997121524855,-1.064529015775445,4.558060127984582,7.405753420706793,-2.40089555242672,1.6383407322645536,-2.0947247784707,4.254100640598664,0.8234319940445939,-0.0409999963917874,0.22322449403570352
2,PVI,sigma0vh,4.549059380617148,-0.05057150871974751,0.7713722765977598,0.10186045313782906,17.581752733061293,6.884881234398281,-4.648702513981854,-0.9980051425976806,-0.06466578029281063,0.037376449025047664,-5.414161222711001,2.7149661501073568,-10.039646819121476,4.406892815773101,0.9547363901395833,-0.1279608242843278,0.34441853520438165
3,PVI,sigma0vv,4.503390010732481,-0.024911177516587314,0.8142982335941412,0.09686412919138772,13.68743098511853,2.991202207951008,0.728911267269468,2.894068087491746,1.6547004763739157,0.6820284698349883,-2.445983007527308,4.7504636273889265,-14.907528346659493,4.36892752580098,0.944240236771968,-0.086410731472838,0.22426824392674202
4,RVI,sigma0vh,4.960295197992722,-0.2588003562887136,0.981840909924006,0.2853574684862091,18.67682745969994,7.127217578926791,0.1725333575594476,-0.06073997368553185,0.003010848462544303,-4.381307282349014e-05,-5.395128429899322,0.0023581166246500113,-0.0007632593184618848,4.4605701027577265,0.9451340935957234,-0.12921304397012162,0.2057877836474921
5,RVI,sigma0vv,4.862906979991387,-0.1996831562426294,0.9022595603573452,0.1767526765037914,11.638785224907165,2.8548028724203425,1.1369089038636055,-0.1479363504061731,0.007065860292658373,-0.00011566984979031916,-2.236155319596631,0.05586148950616378,-0.0027345009719736807,4.4064668367275885,0.8373969381827897,-0.11985102129087447,0.2490030759105945
6,SAVI,sigma0vh,4.575390264829738,-0.05496204328316452,0.9086408635821782,0.14755618696071351,20.800303195543783,7.25493914358209,-7.381955561999395,-4.300771406914026,1.0677532630925142,4.239693026910353,-5.665742274660177,1.4752422593296934,-2.6583543548229422,4.403474137845951,0.919194984511334,-0.11902357676172197,0.3036722889200466
7,SAVI,sigma0vv,4.555953868994252,-0.04365060503090303,0.9174430485492976,0.13660952030502468,15.903925154536022,3.177839491748333,-6.499014131823599,-0.35051646185343643,5.856396384126043,8.506031060148768,-2.572368312556213,1.9355988128754864,-2.622143251931754,4.2235443789626546,0.8723508593097584,-0.022491295242058396,0.2283935307242454
8,NDWI,sigma0vh,4.936485537435108,-0.20642630117476884,1.4020749426557333,0.3002612985834525,18.923757796158064,8.089249052132791,-6.048237158351236,-2.01300746497776,4.045980745459337,5.7290669780877606,-6.180771527376821,-0.3779762074464961,0.302378752115034,4.2839664498366155,0.9593070949875747,-0.025515953703532344,0.11247891184988802
9,NDWI,sigma0vv,4.8971503437640855,-0.18475829322051926,1.3540585155815696,0.26271773508034074,16.129616575148663,4.103914692091859,-6.827342617948007,-1.1457428935507734,5.045099354153005,6.550929373312133,-2.872960166120909,-1.0136870248429974,1.1659581560893495,4.361984512976177,0.8649394860420951,-0.07949799175708086,0.1583573420532201
10,NDVI,sigma0vh,4.543826176187398,-0.048707544374244814,0.8384545167403197,0.16297828496220884,25.252971899646717,8.352487790600167,-6.3420551661245135,-6.132027281654169,-1.863092927508617,3.523647727361157,-6.060254938890336,-0.27178013541837903,-0.3120124707611832,4.413013331617507,0.9468647451025999,-0.09742982874488952,0.15808837030504788
11,NDVI,sigma0vv,4.520521253265078,-0.03423594842354487,0.8412320273023282,0.13341843485000848,19.559464265905138,4.086693685463223,-6.731584980033839,-4.901630195848743,0.340447457260065,5.95725561939637,-2.332847187246065,-1.8533687232938452,1.1987335451180527,4.325814765106062,0.8917706009647616,-0.062093341975614356,0.1801291829893083
