VI,polarization,rmse-mean,r2-mean,rmse-std,r2-std,k1,k2,k3,k4,k5,k6,k7,k8,k9
EVI,sigma0vh,4.5783492370313414,-0.06031803628084877,0.8373866256453083,0.12024802105893292,20.555747473622915,7.037236954223667,-6.328023507157904,-4.216504301377569,0.4487409303918645,3.5605317721794507,-5.462979719579354,1.237885288945932,-2.1579807384552305
EVI,sigma0vv,4.556632675435446,-0.04966577717911622,0.8230878772614001,0.10369071610124185,15.891073975882028,3.0198990126038012,-5.8001997121524855,-1.064529015775445,4.558060127984582,7.405753420706792,-2.40089555242672,1.6383407322645536,-2.0947247784706997
PVI,sigma0vh,4.549059380617148,-0.05057150871974751,0.7713722765977598,0.10186045313782906,17.581752733061297,6.884881234398281,-4.648702513981853,-0.9980051425976806,-0.06466578029281062,0.037376449025047664,-5.414161222711,2.714966150107357,-10.039646819121476
PVI,sigma0vv,4.503390010732481,-0.024911177516587314,0.8142982335941412,0.09686412919138773,13.68743098511853,2.991202207951008,0.728911267269468,2.894068087491746,1.6547004763739157,0.6820284698349883,-2.4459830075273077,4.750463627388927,-14.907528346659495
RVI,sigma0vh,4.960295197992721,-0.25880035628871356,0.9818409099240059,0.2853574684862091,18.67682745969994,7.127217578926791,0.1725333575594476,-0.060739973685531856,0.0030108484625443028,-4.381307282349014e-05,-5.395128429899321,0.0023581166246500113,-0.0007632593184618848
RVI,sigma0vv,4.862906979991388,-0.1996831562426294,0.9022595603573453,0.1767526765037914,11.638785224907165,2.8548028724203425,1.1369089038636055,-0.1479363504061731,0.007065860292658374,-0.00011566984979031916,-2.236155319596631,0.05586148950616378,-0.0027345009719736807
SAVI,sigma0vh,4.575390264829739,-0.05496204328316452,0.9086408635821782,0.14755618696071351,20.800303195543783,7.2549391435820905,-7.381955561999395,-4.300771406914026,1.0677532630925142,4.239693026910354,-5.665742274660177,1.4752422593296934,-2.6583543548229422
SAVI,sigma0vv,4.555953868994253,-0.04365060503090303,0.9174430485492977,0.13660952030502468,15.903925154536022,3.1778394917483332,-6.4990141318236,-0.35051646185343643,5.856396384126043,8.506031060148768,-2.572368312556213,1.9355988128754862,-2.622143251931754
NDWI,sigma0vh,4.936485537435109,-0.20642630117476884,1.4020749426557333,0.3002612985834525,18.923757796158064,8.089249052132791,-6.0482371583512355,-2.01300746497776,4.045980745459337,5.7290669780877606,-6.180771527376821,-0.3779762074464961,0.302378752115034
NDWI,sigma0vv,4.897150343764085,-0.18475829322051923,1.3540585155815696,0.26271773508034074,16.129616575148663,4.103914692091859,-6.827342617948008,-1.1457428935507734,5.045099354153005,6.550929373312134,-2.872960166120909,-1.0136870248429974,1.1659581560893497
NDVI,sigma0vh,4.543826176187399,-0.04870754437424481,0.8384545167403197,0.16297828496220884,25.252971899646713,8.352487790600168,-6.342055166124513,-6.13202728165417,-1.863092927508617,3.523647727361157,-6.060254938890336,-0.271780135418379,-0.3120124707611832
NDVI,sigma0vv,4.520521253265078,-0.03423594842354487,0.8412320273023282,0.13341843485000848,19.559464265905138,4.086693685463224,-6.731584980033839,-4.901630195848743,0.340447457260065,5.957255619396369,-2.332847187246065,-1.8533687232938454,1.1987335451180527
